starttime	seconds	ctime	dtime	ttime	wait
Fri Jun 17 18:40:30 2011	1308328830	0	369	369	369
Fri Jun 17 18:40:31 2011	1308328831	0	369	369	369
Fri Jun 17 18:40:31 2011	1308328831	0	369	369	369
Fri Jun 17 18:40:29 2011	1308328829	0	369	369	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	369	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	369	369
Fri Jun 17 18:40:32 2011	1308328832	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:31 2011	1308328831	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:31 2011	1308328831	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:31 2011	1308328831	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:31 2011	1308328831	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:31 2011	1308328831	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:31 2011	1308328831	0	370	370	369
Fri Jun 17 18:40:31 2011	1308328831	0	370	370	369
Fri Jun 17 18:40:31 2011	1308328831	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:31 2011	1308328831	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
Fri Jun 17 18:40:30 2011	1308328830	0	370	370	369
